Neighborhood,Total population,number of educated people,number of 15-45,number of employers,long_latt,number_gyms,number_venues
Mimico (includes Humber Bay Shores),26550,20080,11400,15120,"[-79.4784745053441, 43.6180407214954]",2,31
Morningside,17585,11805,7255,7605,"[-79.1967906095139, 43.7960730957455]",1,25
Moss Park,16310,11445,8845,8535,"[-79.3727919381748, 43.6527040953801]",3,94
Mount Dennis,13150,7535,5590,5860,"[-79.4971199550629, 43.6811207795402]",0,18
Mount Olive-Silverstone-Jamestown,32790,18130,14745,12480,"[-79.5799043113426, 43.7606047637549]",0,7
Mount Pleasant East,15980,12170,6585,9105,"[-79.3907468168709, 43.6913291659809]",6,70
Mount Pleasant West,28590,24210,16490,18085,"[-79.3861885322844, 43.6975043661747]",2,53
New Toronto,10905,7445,4650,5360,"[-79.4968413564576, 43.6012283261405]",1,20
Newtonbrook East,16425,12580,7100,7550,"[-79.3932382011056, 43.784660837406]",0,8
Newtonbrook West,23050,17790,9875,10900,"[-79.4270213613855, 43.7772079217892]",1,37
Niagara,21000,18010,14920,15535,"[-79.420759416622, 43.6389032792075]",3,97
North Riverdale,12195,8710,4990,6850,"[-79.3597967544888, 43.6707365412866]",2,90
North St. James Town,17825,13355,9720,8935,"[-79.376270792038, 43.6664293113267]",1,98
Oakridge,13505,8080,5770,5010,"[-79.3048273200971, 43.7165851942284]",1,17
Oakwood Village,21075,13195,8885,10465,"[-79.2896432830877, 43.6945273424173]",2,36
O'Connor-Parkview,18315,12015,7195,8480,"[-79.4298991024178, 43.6838873093489]",0,78
Old East York,9115,6475,3425,4840,"[-79.3356904057412, 43.7030791997533]",1,30
Palmerston-Little Italy,13735,10515,7870,8555,"[-79.4179822658754, 43.6552544722333]",0,100
Parkwoods-Donalda,34620,24620,14365,16420,"[-79.3361123102507, 43.7415562256228]",0,21
Pelmo Park-Humberlea,8705,5265,3345,4060,"[-79.5277781900335, 43.7065371143048]",1,33
Playter Estates-Danforth,7655,5690,3240,4325,"[-79.3454024242913, 43.680441195517204]",4,93
Pleasant View,16145,11315,6425,7400,"[-79.3377107455718, 43.7758324484203]",2,73
Princess-Rosethorn,11200,8360,3775,5585,"[-79.53748243791962, 43.65290812360251]",0,21
Regent Park,10010,5820,4940,3450,"[-79.3564502940338, 43.6644904578707]",1,95
Rexdale-Kipling,10485,6505,3950,4680,"[-79.5741646343167, 43.7355404392813]",0,13
Rockcliffe-Smythe,22270,12730,8935,9955,"[-79.5071296688486, 43.6793510892533]",0,5
Roncesvalles,15050,10170,7135,8255,"[-79.4521493275074, 43.6551927866022]",0,98
Rosedale-Moore Park,20635,16640,7340,10470,"[-79.3793753144355, 43.6718374305527]",3,95
Rouge,45905,31355,19040,22630,"[-79.200181515255, 43.8036974725661]",1,20
Runnymede-Bloor West Village,9635,6875,3955,5140,"[-79.4949287739901, 43.6593769938082]",1,31
Rustic,9950,5260,3765,3560,"[-79.5011714568399, 43.7185614269282]",0,18
Scarborough Village,16615,9975,6800,6365,"[-79.2200307106905, 43.7284974757118]",0,11
South Parkdale,21245,13725,11035,9780,"[-79.4388361647774, 43.632999184321]",1,23
South Riverdale,25640,16950,12375,13730,"[-79.3342521342529, 43.6431806090002]",0,9
St.Andrew-Windfields,17955,13825,6895,8800,"[-79.3852387333819, 43.747808761629]",0,15
Steeles,25010,17135,9915,10745,"[-79.3089876934767, 43.8082759877451]",0,25
Stonegate-Queensway,24690,17820,9190,12550,"[-79.48496738444501, 43.6412304354618]",1,35
Tam O'Shanter-Sullivan,27390,18660,10395,11345,"[-79.3185495361531, 43.778023654632]",2,47
Taylor-Massey,15595,10215,7095,6695,"[-79.296869933918, 43.7011386713316]",0,20
The Beaches,21135,15820,8450,12155,"[-79.293211134959, 43.6800049510967]",0,50
Thistletown-Beaumond Heights,10140,6170,4020,4290,"[-79.5617047368198, 43.742112086675405]",0,23
Thorncliffe Park,19225,11445,8530,6735,"[-79.350370238326, 43.699651952332]",1,38
Trinity-Bellwoods,16805,10605,8750,9155,"[-79.4067961746276, 43.6542865396434]",0,100
University,7790,5435,4565,3680,"[-79.3936115465026, 43.6655972244077]",4,95
Victoria Village,17180,11340,6755,7535,"[-79.3224459758419, 43.7163258785894]",3,23
Waterfront Communities-The Island,43365,39080,29695,31375,"[-79.3546047826462, 43.6549105254359]",3,95
West Hill,26550,17155,10440,10755,"[-79.1960803388911, 43.7756868632516]",0,15
West Humber-Clairville,34100,21195,15145,15865,"[-79.5558065968119, 43.7073093326377]",0,28
Westminster-Branson,25445,19235,10180,12245,"[-79.4470012598403, 43.7670517885172]",1,18
Weston,18170,10720,7780,8625,"[-79.5206519989889, 43.6987539773945]",0,17
Weston-Pelham Park,12015,6240,5390,5680,"[-79.4569297958965, 43.676759807917406]",0,23
Wexford/Maryvale,27020,17625,10255,12515,"[-79.3195548771288, 43.7679300520975]",1,46
Willowdale East,45025,37220,23425,22810,"[-79.3911674290048, 43.7806330113652]",0,4
Willowdale West,15005,11950,6450,7225,"[-79.4137911698636, 43.7729777558747]",2,87
Willowridge-Martingrove-Richview,21345,14165,7670,9355,"[-79.5683296239203, 43.6741191022746]",0,9
Woburn,53350,33590,22885,21665,"[-79.2183581838386, 43.7490457922858]",1,14
Woodbine Corridor,11705,8225,5150,6440,"[-79.3099421226598, 43.6720732368789]",2,71
Woodbine-Lumsden,7825,5645,3195,4060,"[-79.3134366327372, 43.6872873462959]",0,44
Wychwood,13985,8890,5730,6700,"[-79.4146538367128, 43.6739102281804]",2,68
Yonge-Eglinton,10580,8515,4985,6145,"[-79.39764385903482, 43.7033975614873]",5,90
Yonge-St.Clair,11655,10230,5145,7010,"[-79.4050120547099, 43.6959787036027]",2,41
York University Heights,27715,17375,13615,12030,"[-79.5080896369474, 43.7627147512454]",0,21
Yorkdale-Glen Park,14685,8000,5370,6240,"[-79.4706576846475, 43.7253203436703]",1,39
